checklist,taxonID,exemplar id,canonicalName
0,35498371,472,Philantomba monticola defriesi
0,35498374,473,Philantomba monticola melanorheus
0,35498373,474,Philantomba monticola lugens
0,35498376,475,Philantomba monticola simpsoni
0,35498375,476,Philantomba monticola musculoides
0,35498377,477,Philantomba monticola sundevalli
0,35498366,478,Philantomba monticola monticola
0,35498367,479,Philantomba monticola aequatorialis
0,35498368,480,Philantomba monticola anchietae
0,35498369,481,Philantomba monticola bicolor
0,35498370,482,Philantomba monticola congicus
0,35492167,478,Cephalophus monticola
0,35497769,483,Philantomba maxwellii
0,35498364,483,Philantomba maxwellii maxwellii
0,35498365,484,Philantomba maxwellii danei
0,35492166,483,Cephalophus maxwellii
0,54999413,13985,Pseudois
0,35492156,485,Pseudois nayaur
0,35492157,486,Pseudois schaeferi
0,55000912,13986,Pseudoryx
0,35497760,487,Pseudoryx nghetinhensis
0,55006627,13987,Raphicerus
0,35492118,488,Raphicerus melanotis
0,35492119,489,Raphicerus sharpei
0,35492117,491,Raphicerus campestris
0,35498226,490,Raphicerus campestris capricornis
0,35498225,491,Raphicerus campestris campestris
0,35498228,492,Raphicerus campestris neumanni
0,35498227,493,Raphicerus campestris kelleni
0,55007154,13988,Redunca
0,35492187,499,Redunca redunca
0,35498439,494,Redunca redunca wardi
0,35498436,495,Redunca redunca dianae
0,35498435,496,Redunca redunca cottoni
0,35498438,497,Redunca redunca tohi
0,35498437,498,Redunca redunca nigeriensis
0,35498433,499,Redunca redunca redunca
0,35498434,500,Redunca redunca bohor
0,35492185,501,Redunca arundinum
0,35492186,504,Redunca fulvorufula
0,35498431,502,Redunca fulvorufula adamauae
0,35498432,503,Redunca fulvorufula chanleri
0,35498430,504,Redunca fulvorufula fulvorufula
0,55012879,13989,Rupicapra
0,35492159,509,Rupicapra rupicapra
0,35498342,505,Rupicapra rupicapra tatrica
0,35498341,506,Rupicapra rupicapra carpatica
0,35498339,507,Rupicapra rupicapra asiatica
0,35498340,508,Rupicapra rupicapra balcanica
0,35498338,509,Rupicapra rupicapra rupicapra
0,35498337,511,Rupicapra pyrenaica ornata
0,35498474,510,Rupicapra rupicapra ornata
0,55013750,13990,Saiga
0,35497759,512,Saiga borealis
0,35498229,512,Saiga borealis borealis
0,35498230,514,Saiga borealis mongolica
0,35498475,513,Saiga tatarica mongolica
0,35492120,515,Saiga tatarica
0,55034978,13991,Syncerus
0,35489877,516,Syncerus caffer
0,35498249,516,Syncerus caffer caffer
0,35498253,517,Syncerus caffer nanus
0,35498252,518,Syncerus caffer matthewsi
0,35498251,519,Syncerus caffer brachyceros
0,35498250,520,Syncerus caffer aequinoctialis
0,55034444,13992,Sylvicapra
0,35489881,529,Sylvicapra grimmia
0,35498380,521,Sylvicapra grimmia caffra
0,35498379,522,Sylvicapra grimmia altivallis
0,35498382,523,Sylvicapra grimmia coronata
0,35498381,524,Sylvicapra grimmia campbelliae
0,35498384,525,Sylvicapra grimmia lobeliarum
0,35498383,526,Sylvicapra grimmia hindei
0,35498386,527,Sylvicapra grimmia nyansae
